sentence,label,url
Alcaraz’s Indian Wells three-peat bid on track with Draper next up. Spain's Carlos Alcaraz overcomes Francisco Cerundolo to set up semifinal meeting with Jack Draper at Indian Wells.,True,https://www.aljazeera.com/sports/2025/3/14/alcarazs-indian-wells-three-peat-bid-on-track-with-draper-next-up
"On’s The Roger Footwear Line Modernizing And Growing. Both on the tennis court and off, On’s The Roger footwear line has a fresh sense of purpose (and new models coming).",True,https://www.forbes.com/sites/timnewcomb/2025/03/25/ons-the-roger-footwear-line-modernizing-and-growing/
"Winning Financial Strategies: Lessons From The Tennis Court. Interestingly, these same principles are fundamental in financial planning.",True,https://www.forbes.com/sites/top-financial-security-professional/2025/03/13/winning-financial-strategies-lessons-from-the-tennis-court/
Rafael Nadal Serves Up A New Caribbean Getaway. Forbes Travel Guide talks to the tennis legend and Meliá Hotels International CEO Gabriel Escarrer about the debut of all-suite ZEL Punta Cana resort.,True,https://www.forbes.com/sites/forbestravelguide/2025/03/19/rafael-nadal-serves-up-a-new-caribbean-getaway/
"ATP And WTA Try To Net Gen Z: How Tennis Is Targeting Digital Natives. The WTA and ATP want to capture a Gen Z audience. Rule changes are good, but digital content that resonates is key.",True,https://www.forbes.com/sites/timellis/2025/03/16/atp-and-wta-try-to-net-gen-z-how-tennis-is-targeting-digital-natives/
"Roger Federer-Backed On Holding Expands Global Footprint With 19 New Stores, Crosses $112 Million Apparel Sales Mark. On Holding AG (NYSE:ONON) surpassed the fourth-quarter earnings and revenue expectations while delivering CHF100 million ($112.48 million) in apparel sales in 2024. During its earnings call, the performance sportswear maker highlighted its new store openings …",True,https://biztoc.com/x/f4825cbb9423340d
Talking a Big Game: The Art of Sports and the Sport of Art. Hyperallergic Editor-in-Chief Hrag Vartanian sits down with curator Jennifer Dunlop Fletcher and critic Seph Rodney to discuss the unexpected intersections of art and athletics.,True,http://hyperallergic.com/998462/talking-a-big-game-the-art-of-sports-and-the-sport-of-art/
"On plots first co-created footwear, apparel collection with Zendaya. Deeper relationships with its celebrity ambassadors, as well as wholesale partners, are in focus as the activewear brand continues to grow sales by double digits.",True,https://www.retaildive.com/news/on-zendaya-first-co-created-collection/741973/
"On The Roger Clubhouse White / Midnight. The 'On The Roger Clubhouse White / Midnight' sneakers represent a seamless blend of innovation and timeless design, crafted in collaboration between On, a cutting-edge Swiss performance brand, and tennis legend Roger Federer.",True,https://www.kicksonfire.com/on-the-roger-clubhouse-white-midnight
"Draper stuns two-time defending champ Alcaraz to reach Indian Wells final. Britain's Jack Draper ended Carlos Alcaraz's bid for a rare Indian Wells ATP Masters three-peat on Saturday, stunning the two-time defending champion 6-1, 0-6, 6-4 to reach the final.",True,https://japantoday.com/category/sports/draper-stuns-two-time-defending-champ-alcaraz-to-reach-indian-wells-final
"Djokovic oozing confidence ahead of century bid. Novak Djokovic stands on the brink of a landmark 100th professional title at the Miami Open, with the Serb saying he is playing his best tennis in a long time.",True,https://japantoday.com/category/sports/djokovic-oozing-confidence-ahead-of-century-bid
Tsitsipas beats Auger-Aliassime to win Dubai final. Stefanos Tsitsipas secures his maiden Dubai Tennis Championships title with a straight-set victory over Felix Auger-Aliassime in the final.,True,https://www.bbc.com/sport/tennis/articles/cm2yexv87rno
"Mirra Andreeva Is Just Getting Started. Louisa Thomas writes about the professional tennis player Mirra Andreeva, who, at seventeen, has joined the ranks of her idols and toppled them.",True,https://www.newyorker.com/sports/sporting-scene/mirra-andreeva-is-just-getting-started
